trade_id,market_id,ticker,price,price_dollars,count,count_fp,taker_side,maker_action,taker_action,maker_nickname,taker_nickname,maker_social_id,taker_social_id,create_date
7926f20d-0126-6b1f-c678-80b20cd67461,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,467,467.0,yes,sell,buy,brand.range,definitelynotai.,783896a9-a6bf-42b5-9df0-2dda3e907629,49a7ac65-8631-4ea9-b1c0-ee4f8c2dd8b1,2026-01-30T16:52:38.023473Z
cb184e48-90ae-630b-9a81-04d1138b42bd,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,187,187.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-30T16:33:01.623344Z
2e17754c-403a-7417-6678-f9cadd754a89,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,2244,2244.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-30T16:12:28.78519Z
67c67caf-0f92-71cf-0d13-927005056259,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,935,935.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-30T15:25:26.57258Z
dba6fda8-fa46-547b-cbad-b9a6db80a221,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,467,467.0,yes,sell,buy,brand.range,i.need.,783896a9-a6bf-42b5-9df0-2dda3e907629,fb844e96-e0c9-4548-b01a-2e7f27d95049,2026-01-30T15:06:00.795603Z
f2cc30ff-63ae-4a9f-4217-4cacb6b0c359,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,93,93.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-30T15:05:53.76244Z
fcaafad8-a0ea-6aab-f7ba-e15e449bad91,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,187,187.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-30T14:52:27.378985Z
a7eea124-3d62-47f3-6359-b0ddd289a6c1,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,1028,1028.0,yes,sell,buy,brand.range,tee24,783896a9-a6bf-42b5-9df0-2dda3e907629,c439a073-553e-4200-87e8-9036d6a8b7b3,2026-01-30T14:46:51.650223Z
8be28bb7-f24e-6ccf-a469-71e9a02a60a1,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,280,280.0,yes,sell,buy,brand.range,quick.squad,783896a9-a6bf-42b5-9df0-2dda3e907629,539c2cf0-2290-4780-95f2-1e12b10063a3,2026-01-30T14:24:19.81186Z
11560f3a-4752-72df-879b-02019f98444d,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,467,467.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-30T14:13:21.630247Z
